Tool,Commercial Status,TIME Status,Primary SysAdmin,Budget Holder(s),Description,URL,Cap1,Cap2,Cap3,Cap4,Cap5,Cap6,Cap7,Cap8,Cap9,Cap10,Cap11,Cap12,Cap13,Cap14,Cap15,Cap16,Cap17,Cap18,Cap19,Cap20,Cap21,Cap22,Cap23,Cap24,Cap25,Cap26,AMERICAS D&A,AMETA D&A,DIGITAL D&A,EUROPE D&A,ERA,GAC,
Rust,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A systems programming language focused on safety, speed, and concurrency. Rust prevents segmentation faults and guarantees thread safety without a garbage collector. It is used for performance-critical applications, system tools, and web assembly development.",https://www.rust-lang.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
Salesforce Einstein Analytics,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An AI-powered advanced analytics platform natively built into Salesforce CRM. It provides predictive insights, recommendations, and automated discovery of data patterns, helping sales and service teams make smarter decisions based on their customer data.",https://www.salesforce.com/products/einstein/overview/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
SAP BusinessObjects,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A suite of front-end applications that allow business users to view, sort, and analyze business intelligence data. It provides reporting, visualization, and data sharing capabilities, enabling organizations to deliver information to end-users in a secure and scalable manner.",https://www.sap.com/products/technology-platform/bi-platform.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
SAS Enterprise Guide,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A point-and-click interface to the SAS System that provides access to the power of SAS for data analysis and reporting. It allows users to perform tasks such as data access, management, analysis, and reporting in a project-oriented environment without writing code.",https://www.sas.com/en_us/software/enterprise-guide.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
SAS Viya,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A cloud-native analytics platform that supports the entire analytics lifecycle. SAS Viya integrates data preparation, visual analytics, and machine learning capabilities, allowing users to build and deploy models in a unified environment that scales across cloud providers.",https://www.sas.com/en_us/software/viya.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
Selenium,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com",A portable framework for testing web applications. Selenium provides a playback tool for authoring functional tests without the need to learn a test scripting language (Selenium IDE). It also provides a test domain-specific language (Selenese) to write tests in a number of popular programming languages.,https://www.selenium.dev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
Sharepoint,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A web-based collaborative platform that integrates with Microsoft Office. SharePoint is primarily sold as a document management and storage system, but the product is highly configurable and usage varies substantially among organizations, including intranets, content management, and team collaboration.",https://www.microsoft.com/sharepoint,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,
Snowflake,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A cloud-based data warehousing platform that provides storage, processing, and analytic solutions. Snowflake's architecture separates compute from storage, allowing for independent scaling and enabling organizations to store and analyze diverse data types in a single, integrated system.",https://www.snowflake.com,0,0,0,0,0,3,3,0,0,0,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,
Spark,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A unified analytics engine for large-scale data processing. Apache Spark provides high-level APIs in Java, Scala, Python, and R, and an optimized engine that supports general execution graphs. It supports a rich set of higher-level tools including Spark SQL, MLlib for machine learning, GraphX for graph processing, and Structured Streaming.",https://spark.apache.org,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,
Splunk,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A software platform to search, analyze, and visualize the machine-generated data gathered from the websites, applications, sensors, devices, etc. Splunk captures, indexes, and correlates real-time data in a searchable repository from which it can generate graphs, reports, alerts, dashboards, and visualizations.",https://www.splunk.com,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,1,0,0,0,
Spotfire,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com",An analytics platform that allows users to perform in-depth analysis on their data through immersive visual dashboards. Spotfire uses AI-driven recommendations to help users find insights faster and offers advanced geospatial analytics and real-time streaming data visualization capabilities.,https://www.spotfire.com,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
SQL Server Management Studio (SSMS),Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An integrated environment for managing any SQL infrastructure, from SQL Server to Azure SQL Database. SSMS provides tools to configure, monitor, and administer instances of SQL Server and databases. It allows users to deploy, monitor, and upgrade the data-tier components used by applications, as well as build queries and scripts.",https://docs.microsoft.com/en-us/sql/ssms/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Streamlit,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source Python library that makes it easy to create and share custom web apps for machine learning and data science. Streamlit allows data scientists to turn data scripts into shareable web applications in minutes, without needing frontend development experience.",https://streamlit.io,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
Tableau Desktop,Commercial,INVEST,████████@████████.com,"████████@████████.com, ████████@████████.com","A visual analytics platform that allows users to see and understand data. Tableau Desktop enables users to connect to data, build visualizations, and create interactive dashboards with a drag-and-drop interface. It supports a wide range of data sources and helps uncover insights through visual exploration.",https://www.tableau.com/products/desktop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
Tableau Prep,Commercial,INVEST,████████@████████.com,"████████@████████.com, ████████@████████.com","A data preparation tool that helps users combine, shape, and clean data for analysis in Tableau. It provides a visual and direct way to prepare data, allowing users to see the impact of their changes immediately. Tableau Prep Builder automates data prep flows to ensure fresh data is always available.",https://www.tableau.com/products/prep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
Tableau Server,Commercial,INVEST,████████@████████.com,"████████@████████.com, ████████@████████.com","An enterprise analytics platform that allows organizations to publish dashboards and share them throughout the organization. Tableau Server provides governance, security, and scalability for managing data and analytics content, enabling collaboration and secure access to insights.",https://www.tableau.com/products/server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
TensorBoard,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A visualization toolkit for machine learning experimentation. TensorBoard provides tools for visualizing metrics like loss and accuracy, viewing the model graph, projecting embeddings to a lower dimensional space, and more, helping researchers and engineers understand and debug their machine learning models.",https://www.tensorflow.org/tensorboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
TensorFlow,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An end-to-end open-source platform for machine learning. It has a comprehensive, flexible ecosystem of tools, libraries, and community resources that lets researchers push the state-of-the-art in ML and developers easily build and deploy ML-powered applications. TensorFlow supports deep learning and neural network development.",https://www.tensorflow.org,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,
Teradata,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A provider of database and analytics-related software, products, and services. Teradata is known for its relational database management system that handles large-scale data warehousing and analytics applications. It offers massively parallel processing capabilities for high-performance data analysis.",https://www.teradata.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
ThoughtSpot,Commercial,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A search and AI-driven analytics platform that allows users to search their data using natural language queries and get instant answers through interactive visualizations. ThoughtSpot makes data analysis accessible to business users by providing Google-like search capabilities for enterprise data, eliminating the need for complex query languages.",https://www.thoughtspot.com,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
WARP IDE,Open-source,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An AI-powered development environment that enables developers to build software using multiple autonomous agents that write code, debug applications, and create pull requests through natural language commands. It provides parallel agent execution, context-aware coding assistance, and integration with development workflows, allowing teams to accelerate their development process with AI agents that can handle complex multi-repository codebases.",https://www.warp.dev/,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,
YAML,Open-source,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","YAML Ain't Markup Language - a human-readable data serialization format used for configuration files, data exchange, and infrastructure-as-code definitions. It features a minimalist syntax that relies on indentation for structure, supporting scalar values, lists, and associative arrays, making it the standard format for Kubernetes manifests, CI/CD pipelines, and application configuration across modern DevOps toolchains.",https://yaml.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
